amount_inr,payment_method,bank,failure_reason,day_of_month,customer_past_failures,customer_tenure_days,is_salary_window,high_value_txn,repeat_failer,actual_recovered,recovery_score,recommended_action,expected_value_inr,reasoning,retry_date,customer_message
122.78,Credit Card,Axis,network_error,11,0,392,0,0,0,1,0.9300125,RETRY_NOW,112.19,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1660.63,Credit Card,HDFC,network_error,7,1,174,0,0,0,0,0.91831726,RETRY_NOW,1522.99,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1646.97,Credit Card,SBI,network_error,9,1,466,0,0,0,1,0.9182604,RETRY_NOW,1510.35,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2056.8,UPI,SBI,network_error,20,1,357,0,0,0,1,0.915374,RETRY_NOW,1880.74,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
129.0,UPI,Axis,network_error,21,1,496,0,0,0,0,0.9143784,RETRY_NOW,115.95,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
31.03,Wallet,PNB,network_error,16,1,419,0,0,0,1,0.9138612,RETRY_NOW,26.36,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1016.39,Debit Card,HDFC,network_error,27,1,834,0,0,0,1,0.91371727,RETRY_NOW,926.69,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
687.02,Credit Card,Axis,network_error,16,1,775,0,0,0,1,0.9132069,RETRY_NOW,625.39,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
138.5,Debit Card,IDFC,network_error,22,2,445,0,0,0,1,0.90722156,RETRY_NOW,123.65,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1978.53,Wallet,PNB,network_error,17,1,634,0,0,0,1,0.90592587,RETRY_NOW,1790.4,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2484.95,Netbanking,Yes Bank,network_error,8,1,493,0,0,0,1,0.905831,RETRY_NOW,2248.94,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1825.13,Debit Card,SBI,network_error,17,0,664,0,0,0,1,0.9034102,RETRY_NOW,1646.84,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1692.02,Netbanking,PNB,network_error,20,2,353,0,0,0,1,0.90217316,RETRY_NOW,1524.5,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2456.61,Credit Card,SBI,network_error,25,0,373,0,0,0,1,0.90109724,RETRY_NOW,2211.64,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2918.75,Credit Card,HDFC,network_error,8,1,186,0,0,0,1,0.8999366,RETRY_NOW,2624.69,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
284.73,Wallet,SBI,network_error,16,1,492,0,0,0,0,0.89976656,RETRY_NOW,254.19,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2403.04,Credit Card,PNB,network_error,10,2,816,0,0,0,1,0.8988252,RETRY_NOW,2157.91,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
505.74,Netbanking,Kotak,network_error,23,1,853,0,0,0,1,0.89846826,RETRY_NOW,452.39,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
85.47,Debit Card,Axis,network_error,31,2,451,1,0,0,1,0.89758986,RETRY_NOW,74.72,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
148.79,UPI,Axis,network_error,21,1,338,0,0,0,1,0.8956579,RETRY_NOW,131.26,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2573.83,Netbanking,PNB,network_error,28,1,594,1,0,0,1,0.89462924,RETRY_NOW,2300.62,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1791.2,UPI,ICICI,network_error,9,0,300,0,0,0,1,0.89423764,RETRY_NOW,1599.76,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
126.31,Netbanking,PNB,network_error,21,2,698,0,0,0,1,0.8935675,RETRY_NOW,110.87,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1897.58,Debit Card,Kotak,network_error,12,0,664,0,0,0,1,0.8926239,RETRY_NOW,1691.83,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
319.25,Debit Card,HDFC,network_error,21,1,402,0,0,0,1,0.89194924,RETRY_NOW,282.75,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
